Month_Sold,predicted_price
1,468850.04557141
2,454401.1170381451
3,450604.64043564134
4,447796.8103845412
5,444186.80004201963
6,440042.6304579704
7,436408.89216022776
8,432369.72962212743
9,427848.9113928526
10,465849.28838635667
11,461699.8101728394
12,458345.68626747775
