overall_condition,predicted_price
1,366219.5248703665
2,375513.5260534099
3,385034.57837629446
4,397972.46725373965
5,413839.0373462654
6,427713.4424114668
7,441109.95881516166
8,452821.3173903099
9,465849.28838635667
